Province,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Alberta,Calgary,Landmark Cinemas 16 Country Hills & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.70 m,20.00 m,Yes
Alberta,Calgary,Scotiabank Chinook & IMAX,1.43:1,IMAX Digital,1.90:1,IMAX SR 15/70 mm,16.18 m,21.33 m,Yes
Alberta,Edmonton,Scotiabank Edmonton & IMAX,1.43:1,IMAX Digital,1.90:1,IMAX SR 15/70 mm,16.00 m,21.30 m,Yes
Alberta,Edmonton,Cineplex Odeon South Edmonton & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,12.19 m,21.03 m,Yes
Alberta,Edmonton,TELUS World of Science - Edmonton IMAX Theatre,1.90:1,IMAX GT Laser,1.90:1,No,12.80 m,21.33 m,Limited
British Columbia,Coquitlam,Cineplex Cinemas Coquitlam & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,10.09 m,18.53 m,Yes
British Columbia,Langley,Cineplex Cinemas Langley & IMAX,1.43:1,IMAX Digital,1.90:1,IMAX SR 15/70 mm,16.00 m,21.30 m,Yes
British Columbia,Richmond,SilverCity Riverport & IMAX,1.43:1,IMAX Digital,1.90:1,IMAX SR 15/70 mm,16.10 m,21.30 m,Yes
British Columbia,Vancouver,Scotiabank Theatre Vancouver & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,0 m,0 m,Yes
British Columbia,Vancouver,OMNIMAX Theatre at Science World,Dome 1.43:1,N/A,N/A,IMAX GT Dome 15/70 mm,0 m,27.00 m,No
British Columbia,Victoria,"IMAX Victoria, Royal BC Museum",1.43:1,IMAX GT Laser,1.43:1,No,18.68 m,25.63 m,Yes
New Brunswick,Moncton,Cineplex Cinemas Dieppe,1.90:1,IMAX Laser XT,1.90:1,No,9.60 m,15.54 m,Yes
Nova Scotia,Halifax,Scotiabank Halifax & IMAX,1.43:1,IMAX Digital,1.90:1,IMAX SR 15/70 mm,16.09 m,21.79 m,Yes
Ontario,Ancaster,SilverCity Ancaster Cinemas & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,10.8 m,19.6 m,Yes
Ontario,Kanata,Landmark Cinemas 24 Kanata & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,0 m,0 m,Yes
Ontario,Mississauga,Cineplex Cinemas Mississauga & IMAX,1.43:1,IMAX Digital,1.90:1,IMAX SR 15/70 mm,16.09 m,21.48 m,Yes
Ontario,Oakville,Cineplex Cinemas Winston Churchill & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.5 m,18.8 m,Yes
Ontario,Sudbury,"La Salle IMAX, Science North",1.43:1,IMAX GT Laser,1.43:1,No,16.30 m,22.10 m,Yes
Ontario,Toronto,Cinesphere & IMAX,1.43:1,IMAX GT Laser,1.43:1,IMAX GT3D 15/70 mm,18.28 m,24.38 m,Yes
Ontario,Toronto,Scotiabank Toronto & IMAX,1.43:1,IMAX GT Laser,1.43:1,No,18.28 m,23.77 m,Yes
Ontario,Woodbridge,Cineplex Cinemas Vaughan & IMAX,1.43:1,IMAX Digital,1.90:1,IMAX SR 15/70 mm,16.12 m,21.79 m,Yes
Ontario,Waterloo,Landmark Waterloo & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,8.6 m ,17.2 m,Yes
Ontario,Whitby,Landmark Cinemas 24 Whitby & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
Québec,Montréal,Cinema Banque Scotia Montreal,1.43:1,IMAX Digital,1.90:1,No,18.7 m,24.9 m,Yes
Québec,Montréal,Cinéma Cineplex Forum et VIP,1.90:1,IMAX Digital,1.90:1,No,8.6 m,16.8 m,Yes
Québec,Montréal,IMAX Telus Montreal Science Centre,1.43:1,IMAX GT Laser,1.43:1,No,21.33 m,27.73 m,No
Québec,Québec,Cinema Cineplex IMAX aux Galeries de la Capitale,1.43:1,IMAX Digital,1.90:1,No,22.9m, 28.2m,Yes
Saskatchewan,Regina,"Kramer IMAX, Saskatchewan Science Centre",1.43:1,IMAX GT Laser,1.43:1,IMAX SR 15/70 mm,15.84 m,21.94 m,Yes
