State,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
AL,Birmingham,"IMAX Dome, McWane Center",Dome 1.43:1,IMAX Laser for Dome,Dome 1.43:1,No,0 m,24.00 m,Yes
AZ,Grand Canyon,"Grand Canyon IMAX, Grand Canyon Visitor Center",1.43:1,IMAX GT Laser,1.43:1,No,18.00 m,23.80 m,No
AZ,Phoenix,AMC Deer Valley 30 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,8.70 m,15.60 m,Yes
AZ,Phoenix,AMC DINE-IN Desert Ridge 18 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
AZ,Tempe,Harkins Arizona Mills 25 & IMAX,1.43:1,IMAX CoLa,1.90:1,IMAX GT3D 15/70 mm,18.30 m,24.40 m,Yes
CA,Aliso Viejo,Regal Edwards Aliso Viejo & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.40 m,16.50 m,Yes
CA,Alhambra,Regal Edwards Alhambra Renaissance & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,10.10 m, 15.40 m,Yes
CA,Arcadia,AMC Santa Anita 16 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.10 m,15.90 m,Yes
CA,Balboa Park,Fleet Science Center,Dome 1.43:1,IMAX Laser for Dome,Dome 1.43:1,No,0 m,23.20 m,Yes
CA,Burbank,AMC Burbank 16 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,11.30 m,19.20 m,Yes
CA,Canoga Park,AMC Topanga 12 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
CA,City of Industry,AMC Puente 20 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.10 m,17.40 m,Yes
CA,Daly City,Cinemark Century Daly City 20 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
CA,Dublin,Regal Hacienda Crossings & IMAX,1.43:1,IMAX CoLa,1.90:1,IMAX GT3D 15/70 mm,17.00 m,23.28 m,Yes
