Province,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Beijing,Chaoyang,Beijing Emperor Center & IMAX,1.90:1,IMAX CoLa,1.90:1,No,11.76 m,22.19 m,Yes
Beijing,Chaoyang,Beijing Fangyuanli ID Mall Bona & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.9 m,20.92 m,Unk
Beijing,Chaoyang,China National Film Museum & IMAX,1.43:1,IMAX GT Laser,1.43:1,No,19.51 m,30.17 m,Unk
Beijing,Chaoyang,"IMAX 3D, China Science & Technology Museum",1.43:1,N/A,N/A,IMAX GT3D 15/70 mm,21.93 m,29.58 m,Unk
Beijing,Chaoyang,"IMAX Dome, China Science & Technology Museum",Dome 1.43:1,N/A,N/A,IMAX GT Dome 15/70 mm,0 m,30 m,Unk
Beijing,Fangshan,Beijing Fangshan Wanda & IMAX,1.90:1,IMAX CoLa,1.90:1,No,11.76 m,22.85 m,Unk
Beijing,Haidian,Beijing Qinghe CGV & IMAX,1.90:1,IMAX CoLa,1.90:1,No,8.31 m,16.48 m,Unk
Beijing,Shijingshan,Beijing Shijingshan Wanda & IMAX,1.90:1,IMAX CoLa,1.90:1,No,12.68 m,23.22 m,Unk
Beijing,Tongzhou,Universal Beijing Resort Universal City Walk & IMAX,N/A,IMAX CoLa,1.90:1,No,0 m,0 m,Unk
Chongqing,Jiangbei,"IMAX, Chongqing Science & Technology Museum",1.43:1,N/A,N/A,IMAX SR 15/70 mm,16.00 m,22.00 m,Unk
Chongqing,Yuzhong,"IMAX Dome, Chongqing Children's Museum",Dome 1.43:1,N/A,N/A,IMAX SR Dome 15/70 mm,0 m,18 m,Unk
Fujian,Fuzhou,Fuzhou Strait Culture Art Center Jinyi & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.59 m,20.39 m,Unk
Fujian,Xiamen,Xiamen Huli Wanda & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.40 m,20.18 m,Unk
Guangdong,Dongguan,Dongguan Wanda & IMAX,1.43:1,IMAX GT Laser,1.43:1,No,19.51 m,32.06 m,Unk
Guangdong,Dongguan,"IMAX Dome, Dongguan Science & Technology Museum",Dome 1.43:1,N/A,N/A,IMAX GT Dome 15/70 mm,0 m,18 m,Unk
Guangdong,Guangzhou,Guangzhou New Park Mei Ah & IMAX,1.90:1,IMAX CoLa,1.90:1,No,12.31 m,23.55 m,Unk
Guangdong,Guangzhou,Guangzhou Rock Square Flying & IMAX,N/A,IMAX CoLa,1.90:1,No,0 m,0 m,Unk
Guangdong,Maoming,Maoming Donghui & IMAX,N/A,IMAX CoLa,1.90:1,No,0 m,0 m,Unk
