City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Ashford,Cineworld Ashford & IMAX,1.43:1,IMAX CoLa,1.90:1,No,16 m,23 m,Yes
Barnsley,Cineworld Barnsley & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
Blackpool,The Backlot & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.85 m, 19.87 m,Yes
Belfast,Cineworld Belfast & IMAX,1.43:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
Dunfermline,ODEON Dunfermline & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
Gateshead,ODEON Gateshead & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.0 m,19.0 m,Yes
Glasgow,Cineworld Silverburn & IMAX,1.90:1,IMAX CoLa,1.90:1,No,13 m,24 m,Yes
Liverpool,ODEON Liverpool ONE & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
London,"BFI IMAX, British Film Institute",1.43:1,IMAX CoLa,1.90:1,IMAX GT3D 15/70 mm,20 m,26 m,Yes
London,Cineworld Leicester Square IMAX,1.90:1,IMAX GT Laser,1.90:1,No,14.0 m,26.5 m,Yes
London,IMAX: The Ronson Theatre at the Science Museum,1.43:1,IMAX GT Laser,1.43:1,IMAX GT3D 15/70 mm,16.8 m,24.3 m,Yes
Manchester,ODEON Trafford Centre & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.7 m,17.8 m,Yes
Manchester,Vue Manchester IMAX & The Printworks,1.43:1,IMAX GT Laser,1.43:1,IMAX GT3D 15/70 mm,18.8 m,26.3 m,Yes
Norwich,ODEON Norwich & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,9.4 m, 18.24 m,Yes
Rushden,Cineworld Rushden Lakes & IMAX,1.90:1,IMAX CoLa,1.90:1,No,13.2 m,23.8 m,Yes
Sheffield,Cineworld Sheffield & IMAX,1.90:1,IMAX GT Laser,1.90:1,No,12.9 m,23.9 m,Yes
Swindon,VUE Swindon & IMAX,1.90:1,IMAX CoLa,1.90:1,No,8 m,14.6 m,Yes
Uxbridge,ODEON Uxbridge & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,7.40 m,15.20 m,Yes
Watford,Cineworld Watford & IMAX,1.90:1,IMAX CoLa,1.90:1,No,11.6 m,22.0 m,Yes
York,Cineworld York & IMAX,1.43:1,IMAX CoLa,1.90:1,No,16.81 m,22.29 m,Yes
